workload,trial_idx,datetime,accumulated_submission_time,accuracy,loss,global_step,epoch,steps_per_epoch,global_start_time,goal_reached,is_time_remaining,training_complete,batch_size,hparam.learning_rate,hparam.momentum,workload.eval_period_time_sec,workload.max_allowed_runtime_sec,workload.num_eval_train_examples,workload.num_train_examples,workload.num_validation_examples,workload.target_value,extra.coil100.target_value,cpu.util.avg_percent_since_last,cpu.freq.current,mem.total,mem.available,mem.used,mem.percent_used,mem.read_bytes_since_boot,mem.write_bytes_since_boot,net.bytes_sent_since_boot,net.bytes_recv_since_boot,gpu.count,gpu.0.compute.util,gpu.0.mem.util,gpu.0.mem.total,gpu.0.mem.used,gpu.0.mem.free,gpu.0.temp.current,gpu.avg.compute.util,gpu.avg.mem.util,gpu.avg.mem.total,gpu.avg.mem.used,gpu.avg.mem.free,gpu.avg.temp.current
coil100_jax_dropout,1,2022-04-11T18:56:48.925655,34.58815360069275,0.9729166626930236,0.0493595339357852,900,10.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.0,2194.842,186810937344,161484398592,22881546240,13.6,423023396864,224980291584,4024512562519,36562970631926,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,1,2022-04-11T18:57:09.491174,37.22175693511963,0.9743055701255798,0.043238066136837,990,11.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.0,2194.842,186810937344,164253655040,20111872000,12.1,423023396864,224980293120,4024530692043,36562970775763,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,1,2022-04-11T18:57:28.774262,39.90507817268372,0.9833333492279052,0.033372014760971,1080,12.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.0,2194.842,186810937344,163878404096,20487417856,12.3,423023396864,224980293120,4024548791869,36562970920401,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,1,2022-04-11T18:57:47.798491,42.57857394218445,0.9812500476837158,0.0318218693137168,1170,13.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,7.9,2194.842,186810937344,163703205888,20662452224,12.4,423023396864,224980293120,4024566897047,36562971075050,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0
coil100_jax_dropout,1,2022-04-11T18:58:07.099979,45.233699321746826,0.9847222566604614,0.0329618938267231,1260,14.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.0,2194.842,186810937344,162548219904,21817020416,13.0,423023396864,224980293120,4024585030857,36562971226263,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,1,2022-04-11T18:58:29.431369,47.88314151763916,0.9868055582046508,0.0177694894373416,1350,15.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.0,2194.842,186810937344,162858786816,21507837952,12.8,423023396864,224980293120,4024603145473,36562971352349,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,1,2022-04-11T18:58:50.799065,50.598814725875854,0.9861111640930176,0.0185135398060083,1440,16.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,7.9,2194.842,186810937344,162110922752,22255022080,13.2,423023396864,224980293120,4024621292647,36562971501910,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,1,2022-04-11T18:59:10.348728,53.25661587715149,0.9868055582046508,0.0131110856309533,1530,17.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,7.9,2194.842,186810937344,161654554624,22710972416,13.5,423023396864,224980293120,4024639491117,36562971683101,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,1,2022-04-11T18:59:29.378887,55.925374031066895,0.9909722208976746,0.0113767124712467,1620,18.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,7.9,2194.842,186810937344,161230950400,23134928896,13.7,423023396864,224980293120,4024657620909,36562971812797,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0
coil100_jax_dropout,1,2022-04-11T18:59:49.958569,58.5838098526001,0.9916666746139526,0.0081582963466644,1710,19.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.0,2194.842,186810937344,160012414976,24353300480,14.3,423023396864,224980293120,4024675794659,36562971966618,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,1,2022-04-11T19:00:11.327011,61.233513832092285,0.9805555939674376,0.0305404271930456,1800,20.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.0,2194.842,186810937344,159939522560,24425775104,14.4,423023396864,224980317696,4024693939183,36562972096065,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0
coil100_jax_dropout,1,2022-04-11T19:00:32.467796,63.89377570152283,0.9888889193534852,0.0128963766619563,1890,21.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.0,2194.842,186810937344,159079915520,25285910528,14.8,423023396864,224980320768,4024712127969,36562972249299,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0
coil100_jax_dropout,1,2022-04-11T19:00:53.006990,66.82504653930664,0.9895833730697632,0.0114188594743609,1980,22.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,7.9,2194.842,186810937344,158631514112,25733513216,15.1,423023396864,224980320768,4024730280851,36562972406374,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0
coil100_jax_dropout,1,2022-04-11T19:01:12.787164,69.59593057632446,0.9909722208976746,0.0039297086186707,2070,23.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.0,2194.842,186810937344,158438391808,25927270400,15.2,423023396864,224980431872,4024730424091,36562972425593,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0
coil100_jax_dropout,1,2022-04-11T19:01:31.833291,72.2352945804596,0.9916666746139526,0.0034914745483547,2160,24.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.0,2194.842,186810937344,158128644096,26237018112,15.4,423023396864,224980438528,4024730567587,36562972441377,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0
coil100_jax_dropout,1,2022-04-11T19:01:51.680737,74.88377380371094,0.9909722208976746,0.0050790556706488,2250,25.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.0,2194.842,186810937344,157322973184,27042054144,15.8,423023396864,224980438528,4024730749957,36562972464748,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0
coil100_jax_dropout,1,2022-04-11T19:02:11.074385,77.53060007095337,0.9916666746139526,0.0048519647680222,2340,26.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.0,2194.842,186810937344,156710162432,27655499776,16.1,423023396864,224980562944,4024730894633,36562972481645,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0
coil100_jax_dropout,1,2022-04-11T19:02:30.432856,80.22608542442322,0.9916666746139526,0.0038760311435908,2430,27.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.0,2194.842,186810937344,156328787968,28036874240,16.3,423023396864,224980564480,4024731046167,36562972501057,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,1,2022-04-11T19:02:49.304488,82.8435320854187,0.9888889193534852,0.0072802957147359,2520,28.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.0,2194.842,186810937344,156112035840,28253790208,16.4,423023396864,224980564480,4024731195941,36562972518986,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0
coil100_jax_dropout,1,2022-04-11T19:03:08.340904,85.43187808990479,0.9916666746139526,0.0047995010390877,2610,29.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,7.9,2194.842,186810937344,156383911936,27981668352,16.3,423023396864,224980566016,4024733539517,36562972570551,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,1,2022-04-11T19:03:27.615759,88.04028487205505,0.9916666746139526,0.0023957889061421,2700,30.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,7.9,2194.842,186810937344,155468210176,28897648640,16.8,423023396864,224980566016,4024738044189,36562972639665,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,1,2022-04-11T19:03:46.959862,90.63915848731996,0.988194465637207,0.0066786468960344,2790,31.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,7.9,2194.842,186810937344,155250712576,29115170816,16.9,423023396864,224980566016,4024742551243,36562972711092,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,1,2022-04-11T19:04:06.248471,93.28771018981934,0.9916666746139526,0.0029868192505091,2880,32.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,7.9,2194.842,186810937344,154655432704,29709959168,17.2,423023396864,224980566016,4024747069175,36562972783335,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,1,2022-04-11T19:04:26.643359,95.93881678581238,0.9847222566604614,0.0128184733912348,2970,33.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,7.9,2194.842,186810937344,158653706240,25712234496,15.1,423023396864,224980566016,4024753791511,36562972885827,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0
coil100_jax_dropout,1,2022-04-11T19:04:46.009977,98.63380074501038,0.9868055582046508,0.009627841413021,3060,34.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.0,2194.842,186810937344,158297522176,26068443136,15.3,423023396864,224980566016,4024758321455,36562972965714,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0
coil100_jax_dropout,1,2022-04-11T19:05:05.538487,101.36015200614928,0.9895833730697632,0.0106933861970901,3150,35.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,7.9,2194.842,186810937344,158134358016,26231115776,15.4,423023396864,224980566016,4024762838591,36562973040665,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0
coil100_jax_dropout,1,2022-04-11T19:05:24.860890,104.09320950508118,0.9916666746139526,0.0020721787586808,3240,36.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.0,2194.842,186810937344,157054439424,27311058944,15.9,423023396864,224980566016,4024767357507,36562973109905,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0
coil100_jax_dropout,1,2022-04-11T19:05:44.150885,106.82040309906006,0.9916666746139526,0.0032179779373109,3330,37.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,7.9,2194.842,186810937344,155993853952,28371726336,16.5,423023396864,224980570112,4024771886284,36562973195241,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,1,2022-04-11T19:06:03.488945,109.56565499305724,0.9909722208976746,0.0065057817846536,3420,38.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.0,2194.842,186810937344,155108159488,29257699328,17.0,423023396864,224980638208,4024776405254,36562973273561,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0
coil100_jax_dropout,1,2022-04-11T19:06:22.751084,112.25690054893494,0.9916666746139526,0.0021910294890403,3510,39.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.0,2194.842,186810937344,156578844672,27787284480,16.2,423023396864,224980638208,4024778735524,36562973323406,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,1,2022-04-11T19:06:41.992268,114.93626523017883,0.9916666746139526,0.0024961435701698,3600,40.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.0,2194.842,186810937344,155915485184,28450643968,16.5,423023396864,224980746752,4024778844660,36562973339749,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0
coil100_jax_dropout,1,2022-04-11T19:07:01.282329,117.60085391998292,0.9916666746139526,0.0020391035359352,3690,41.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,7.9,2194.842,186810937344,155627802624,28738326528,16.7,423023396864,224980748288,4024778959944,36562973358175,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0
coil100_jax_dropout,1,2022-04-11T19:07:20.645517,120.2524664402008,0.9916666746139526,0.002025720430538,3780,42.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.0,2194.842,186810937344,154883510272,29482315776,17.1,423023396864,224980748288,4024779078814,36562973377026,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,1,2022-04-11T19:07:40.043043,122.91384673118591,0.9916666746139526,0.0028017410077154,3870,43.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.0,2194.842,186810937344,154862776320,29503049728,17.1,423023396864,224980749824,4024779201056,36562973394933,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0
coil100_jax_dropout,1,2022-04-11T19:07:59.444711,125.6212990283966,0.9909722208976746,0.003205660963431,3960,44.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.0,2194.842,186810937344,154493759488,29872066560,17.3,423023396864,224980749824,4024779322590,36562973412369,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,1,2022-04-11T19:08:18.790578,128.28080368041992,0.987500011920929,0.0075053442269563,4050,45.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.0,2194.842,186810937344,153827659776,30538166272,17.7,423023396864,224980749824,4024779478490,36562973436588,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0
coil100_jax_dropout,1,2022-04-11T19:08:38.390371,130.94568586349487,0.9888889193534852,0.0058779651299119,4140,46.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.0,2194.842,186810937344,153720279040,30645547008,17.7,423023396864,224980749824,4024779570248,36562973452605,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0
coil100_jax_dropout,1,2022-04-11T19:08:58.061613,133.57644724845886,0.9916666746139526,0.001536026247777,4230,47.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.0,2194.842,186810937344,153098309632,31267352576,18.0,423023396864,224980749824,4024797743484,36562973613839,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,1,2022-04-11T19:09:17.640253,136.2171914577484,0.9916666746139526,0.0020812882576137,4320,48.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.0,2194.842,186810937344,152564482048,31801532416,18.3,423023396864,224980749824,4024815853812,36562973784028,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0
coil100_jax_dropout,1,2022-04-11T19:09:37.208151,138.8611466884613,0.9916666746139526,0.0012156382435932,4410,49.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,7.9,2194.842,186810937344,152303177728,32061902848,18.5,423023396864,224980749824,4024833961656,36562973886571,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,1,2022-04-11T19:09:56.931204,141.50060391426086,0.9916666746139526,0.0012193407164886,4500,50.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,7.9,2194.842,186810937344,161350799360,23014633472,13.6,423023396864,224980749824,4024852145864,36562974064511,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,1,2022-04-11T19:10:16.536643,144.12839269638062,0.9916666746139526,0.0016253553330898,4590,51.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.0,2194.842,186810937344,160103542784,24261353472,14.3,423024228352,224980787712,4024870257918,36562974218640,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,1,2022-04-11T19:10:36.050141,146.7394094467163,0.9916666746139526,0.0029601932037621,4680,52.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,7.9,2194.842,186810937344,158927106048,25438720000,14.9,423024228352,224980801024,4024889115890,36562974470413,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,1,2022-04-11T19:10:55.640766,149.37495636940002,0.9895833730697632,0.0055694687180221,4770,53.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,7.9,2194.842,186810937344,157987106816,26378555392,15.4,423024228352,224980801024,4024907238044,36562974624657,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,1,2022-04-11T19:11:15.035261,151.9979386329651,0.9902778267860411,0.0025825523771345,4860,54.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,7.9,2194.842,186810937344,159340281856,25025544192,14.7,423024261120,224981233152,4024926071678,36562974865862,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,1,2022-04-11T19:11:34.468687,154.60510635375977,0.9916666746139526,0.0009316884097643,4950,55.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,7.9,2194.842,186810937344,158680920064,25684742144,15.1,423024261120,224981234688,4024945335900,36562975144873,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,1,2022-04-11T19:11:53.962176,157.22129940986633,0.9916666746139526,0.0018086596392095,5040,56.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.0,2194.842,186810937344,158439419904,25925931008,15.2,423024261120,224981234688,4024963459824,36562975301751,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,1,2022-04-11T19:12:13.505788,159.84067487716675,0.9902778267860411,0.0041325706988573,5130,57.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.0,2194.842,186810937344,157945683968,26420142080,15.5,423024261120,224981236224,4024981622048,36562975469078,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
